price day ahead;price actual
60.09;57.32
58.12;63.7
58.1;75.39
59.13;75.2
62.5;73.97
55.07;62.26
50;56.26
51.3;57.44
48.77;54.18
46.3;52.59
45.5;50.83
44.05;51.24
44.3;53.29
46.3;56.77
47;62.29
48.77;70.79
58.1;71.31
59.5;69.56
56.8;67.62
54.02;66.65
52.1;66.49
48.1;61.08
43.58;59.01
42.62;59.46
44.32;60.85
48.77;71.2
55.48;82.65
60.6;86.2
60.01;84.94
54.45;71.02
48.77;64.36
39.3;57.38
32.25;53.27
31.32;50.16
29.84;48.67
30.92;48.72
32.25;49.4
39.97;54.72
49.63;60.48
49.96;67.97
53.1;69.25
53.71;64.15
53.1;62.28
52.1;60.09
52.21;59.46
49.97;57.53
49.4;55.72
52;54.67
57.01;56.26
67.1;66.23
60.01;74.99
60.01;75.79
56.7;71.74
48.81;63.78
46.95;58.72
63.44;57.81
51.85;52.44
49.78;50.45
48.5;49.7
48.5;49.84
48.53;51.33
51.6;56.71
64.94;62.97
65.65;68.96
66.24;66.55
65.98;62.8
64;59.72
63.89;59.63
62.43;59.43
60.66;55.22
60.69;51.34
62.29;50.31
66.03;54.55
71.22;69.5
73.37;73.25
73.91;73.84
71.12;68.94
66.52;56.99
64.6;53.4
38.55;47.99
31.4;41.05
29.5;39.39
29.78;39.27
30.3;40.36
32;41.82
41.64;50.58
45.01;52.69
46.07;57.27
47.38;58.97
45.01;56.56
44.42;55.67
45;56.32
43.28;54.86
43.51;55.65
41.6;53.76
41.6;54.25
42.64;55.46
42.01;56.31
50.2;65.81
52.01;66.97
47.7;62.91
46.63;57.94
46.32;57.65
44.2;53.56
41.08;51.06
38.04;47.59
36.93;46.54
34.17;43.6
35.14;45.6
38;49.02
38.4;47.7
41.5;51.74
43.82;53.36
42.15;51.96
41.5;50.71
41.6;51.12
40.65;50.49
38.4;48.38
33.81;43.49
32.22;42.37
36.52;46.73
43.4;55.14
49.25;63.06
50.13;63.83
47.5;61.44
46.89;58.05
44.12;55.41
43.1;53.84
40.87;52.95
37.75;48.91
33;44.66
31.92;43.25
31.4;42.62
32;42.94
32;44.05
34.06;47.08
40.07;52.13
41.5;52.35
43.1;54.12
44.2;54.99
44.32;55.24
43.1;54.5
39.07;50.7
36.14;47.2
36.93;47.45
42.01;54.83
51.69;72.42
56.95;76.27
54.32;73.38
52;61.86
49.8;59.43
48.9;61.23
43.88;57.06
41.35;53.59
40.07;51.98
41;52.69
44.3;55.44
50;60.39
56;65.49
61.54;76.03
63.51;77.49
63;76.69
60.13;74.13
59.89;73.72
57.35;68.02
55.73;66.29
54.1;64.93
53.25;64.64
55.42;67.17
58.7;80.91
63.5;85
62.1;82.74
60.1;79.63
55;65.96
51;61.06
48.31;57.05
45;54.16
43.1;52.46
41.5;50.48
41.1;50.15
43.1;52.06
